Image Index,Detector Type,Descriptor Type,TTC Camera,TTC Lidar,TTC diff,Mean diff
17,,,13.442,9.61241,3.82959,
18,,,19.0665,8.3988,10.6677,19.343
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,ORB,ORB,100.873,12.5156,88.3574,
2,,,10.7511,12.6142,1.8631,
3,,,16.6755,14.091,2.5845,
4,,,30.3839,16.6894,13.6945,
5,,,32.5463,15.7465,16.7998,
6,,,152.439,12.7835,139.6555,
7,,,216.716,11.9844,204.7316,
8,,,9.44631,13.1241,3.67779,
9,,,21.4942,13.0241,8.4701,
10,,,16.9407,11.1746,5.7661,
11,,,8.28796,12.8086,4.52064,
12,,,35.6408,8.95978,26.68102,
13,,,9.77565,9.96439,0.188739999999999,
14,,,9.5729,9.59863,0.025729999999999,
15,,,12.8965,8.52157,4.37493,
16,,,11.3898,9.51552,1.87428,
17,,,12.8853,9.61241,3.27289,
18,,,29.89,8.3988,21.4912,30.446
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,ORB,FREAK,12.2074,12.5156,0.308199999999999,
2,,,20.1206,12.6142,7.5064,
3,,,17.4865,14.091,3.3955,
4,,,10.8706,16.6894,5.8188,
5,,,-inf,15.7465,,
6,,,11.5626,12.7835,1.2209,
7,,,-inf,11.9844,,
8,,,9.02151,13.1241,4.10259,
9,,,13.3112,13.0241,0.287099999999999,
10,,,-545.044,11.1746,556.2186,
11,,,7.95795,12.8086,4.85065,
12,,,40.8841,8.95978,31.92432,
13,,,6.57691,9.96439,3.38748,
14,,,60.2671,9.59863,50.66847,
15,,,8.60003,8.52157,0.07846,
16,,,8.23608,9.51552,1.27944,
17,,,11.3219,9.61241,1.70949,
18,,,16.8655,8.3988,8.4667,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,ORB,SIFT,12.8695,12.5156,0.353900000000001,
2,,,10.5162,12.6142,2.098,
3,,,11.669,14.091,2.422,
4,,,209.183,16.6894,192.4936,
5,,,502.13,15.7465,486.3835,
6,,,21.1449,12.7835,8.3614,
7,,,-inf,11.9844,,
8,,,10.4477,13.1241,2.6764,
9,,,15.1132,13.0241,2.0891,
10,,,11.1389,11.1746,0.0357,
11,,,10.1214,12.8086,2.6872,
12,,,-inf,8.95978,,
13,,,7.94456,9.96439,2.01983,
14,,,18.6477,9.59863,9.04907,
15,,,13.6989,8.52157,5.17733,
16,,,9.56045,9.51552,0.044929999999999,
17,,,18.3228,9.61241,8.71039,
18,,,10.7852,8.3988,2.3864,
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,AKAZE,BRISK,11.9055,12.5156,0.610099999999999,
2,,,15.6249,12.6142,3.0107,
3,,,13.4641,14.091,0.626899999999999,
4,,,14.4196,16.6894,2.2698,
5,,,14.7461,15.7465,1.0004,
6,,,14.8422,12.7835,2.0587,
7,,,16.1856,11.9844,4.2012,
8,,,13.992,13.1241,0.867900000000001,
9,,,13.901,13.0241,0.876899999999999,
10,,,11.878,11.1746,0.7034,
11,,,12.5055,12.8086,0.303100000000001,
12,,,10.3737,8.95978,1.41392,
13,,,10.1488,9.96439,0.18441,
14,,,10.0385,9.59863,0.439870000000001,
15,,,10.1702,8.52157,1.64863,
16,,,10.3834,9.51552,0.86788,
17,,,9.72723,9.61241,0.11482,
18,,,8.95291,8.3988,0.55411,1.208
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,AKAZE,BRIEF,13.2804,12.5156,0.764800000000001,
2,,,15.381,12.6142,2.7668,
3,,,13.6728,14.091,0.418199999999999,
4,,,13.9793,16.6894,2.7101,
5,,,15.1106,15.7465,0.635899999999999,
6,,,13.91,12.7835,1.1265,
7,,,15.9355,11.9844,3.9511,
8,,,14.4514,13.1241,1.3273,
9,,,13.5101,13.0241,0.485999999999999,
10,,,11.6674,11.1746,0.492800000000001,
11,,,12.3559,12.8086,0.4527,
12,,,11.6794,8.95978,2.71962,
13,,,10.119,9.96439,0.15461,
14,,,9.85941,9.59863,0.26078,
15,,,9.48762,8.52157,0.966049999999999,
16,,,9.69983,9.51552,0.18431,
17,,,9.50336,9.61241,0.10905,
18,,,9.12903,8.3988,0.730230000000001,1.125
Image Index,Detector Type,Descriptor Type,TTC Camera,,,
1,AKAZE,ORB,12.4033,12.5156,0.112299999999999,
2,,,15.0918,12.6142,2.4776,
3,,,13.2795,14.091,0.811499999999999,
4,,,14.3668,16.6894,2.3226,
5,,,15.9105,15.7465,0.164000000000001,
6,,,13.8327,12.7835,1.0492,
7,,,15.414,11.9844,3.4296,
8,,,13.9679,13.1241,0.8438,
9,,,13.4465,13.0241,0.4224,
10,,,11.6151,11.1746,0.4405,
11,,,12.1404,12.8086,0.668200000000001,
12,,,11.6512,8.95978,2.69142,
13,,,10.0845,9.96439,0.12011,
14,,,10.3482,9.59863,0.74957,
15,,,10.2839,8.52157,1.76233,
